frame_name,frame_index,bits_used_in_frame,used_bits_mask,ConfigBits_ranges
frame0,0,32,1111_1111_1111_1111_1111_1111_1111_1111,375:344
frame1,1,32,1111_1111_1111_1111_1111_1111_1111_1111,343:312
frame2,2,32,1111_1111_1111_1111_1111_1111_1111_1111,311:280
frame3,3,32,1111_1111_1111_1111_1111_1111_1111_1111,279:248
frame4,4,32,1111_1111_1111_1111_1111_1111_1111_1111,247:216
frame5,5,32,1111_1111_1111_1111_1111_1111_1111_1111,215:184
frame6,6,32,1111_1111_1111_1111_1111_1111_1111_1111,183:152
frame7,7,32,1111_1111_1111_1111_1111_1111_1111_1111,151:120
frame8,8,32,1111_1111_1111_1111_1111_1111_1111_1111,119:88
frame9,9,32,1111_1111_1111_1111_1111_1111_1111_1111,87:56
frame10,10,32,1111_1111_1111_1111_1111_1111_1111_1111,55:24
frame11,11,24,1111_1111_1111_1111_1111_1111_0000_0000,23:0
frame12,12,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame13,13,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame14,14,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame15,15,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame16,16,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame17,17,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame18,18,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
frame19,19,0,0000_0000_0000_0000_0000_0000_0000_0000,# NULL
